82
419.707 247.655
418.828 255.265
417.37 262.785
415.34 270.172
412.75 277.382
409.617 284.372
405.957 291.102
401.793 297.532
397.149 303.624
392.052 309.343
386.533 314.655
380.623 319.529
374.357 323.937
367.772 327.851
360.907 331.25
353.802 334.114
346.498 336.425
339.039 338.171
331.468 339.34
323.83 339.927
316.17 339.927
308.532 339.34
300.961 338.171
293.502 336.425
286.198 334.114
279.093 331.25
272.228 327.851
265.643 323.937
259.377 319.529
253.467 314.655
247.948 309.343
242.851 303.624
238.207 297.532
234.043 291.102
230.383 284.372
227.25 277.382
224.66 270.172
222.63 262.785
221.172 255.265
220.293 247.655
220 240
220.293 232.345
221.172 224.735
222.63 217.215
224.66 209.828
227.25 202.618
230.383 195.628
234.043 188.898
238.207 182.468
242.851 176.376
247.948 170.657
253.467 165.345
259.377 160.471
265.643 156.063
272.228 152.149
279.093 148.75
286.198 145.886
293.502 143.575
300.961 141.829
308.532 140.66
316.17 140.073
323.83 140.073
331.468 140.66
339.039 141.829
346.498 143.575
353.802 145.886
360.907 148.75
367.772 152.149
374.357 156.063
380.623 160.471
386.533 165.345
392.052 170.657
397.149 176.376
401.793 182.468
405.957 188.898
409.617 195.628
412.75 202.618
415.34 209.828
417.37 217.215
418.828 224.735
419.707 232.345
419.707 247.655
